127.0.0.1 - - [10/Dec/2021 15:13:09] "GET / HTTP/1.1" HTTPStatus.NOT_MODIFIED
127.0.0.1 - - [10/Dec/2021 15:13:58] "/" HTTPStatus.NOT_MODIFIED
127.0.0.1 - - [10/Dec/2021 15:13:59] "/" HTTPStatus.NOT_MODIFIED
127.0.0.1 - - [10/Dec/2021 15:17:55] "/" 304
10/Dec/2021 15:19:23 - - 127.0.0.1 "/" 200
10/Dec/2021 16:38:22 - - 127.0.0.1 code 404, message File not found
10/Dec/2021 16:38:22 - - 127.0.0.1 "/favicon.ico" 404
10/Dec/2021 16:48:23 - - 127.0.0.1 "/" 304
10/Dec/2021 17:56:41 - - 127.0.0.1 "/" 304
10/Dec/2021 22:08:29 - - 127.0.0.1 "/" 200
10/Dec/2021 22:08:29 - - 127.0.0.1 code 404, message File not found
10/Dec/2021 22:08:29 - - 127.0.0.1 "/favicon.ico" 404
10/Dec/2021 22:14:42 - - 127.0.0.1 "/" 304
10/Dec/2021 22:14:45 - - 127.0.0.1 "/" 304
10/Dec/2021 22:15:20 - - 127.0.0.1 "/" 304
10/Dec/2021 22:15:20 - - 127.0.0.1 "/" 304
10/Dec/2021 22:15:21 - - 127.0.0.1 "/" 304
10/Dec/2021 22:15:21 - - 127.0.0.1 "/" 304
10/Dec/2021 22:15:56 - - 127.0.0.1 "/" 304
10/Dec/2021 22:15:57 - - 127.0.0.1 "/" 304
10/Dec/2021 22:15:57 - - 127.0.0.1 "/" 304
10/Dec/2021 22:15:58 - - 127.0.0.1 "/" 304
10/Dec/2021 22:16:06 - - 127.0.0.1 "/" 304
10/Dec/2021 22:16:06 - - 127.0.0.1 "/" 304
10/Dec/2021 22:16:06 - - 127.0.0.1 "/" 304
10/Dec/2021 22:16:06 - - 127.0.0.1 "/" 304
10/Dec/2021 22:16:06 - - 127.0.0.1 "/" 304
10/Dec/2021 22:16:36 - - 127.0.0.1 "/" 200
10/Dec/2021 22:16:36 - - 127.0.0.1 "/favicon.ico" 200
10/Dec/2021 22:16:48 - - 127.0.0.1 "/" 304
10/Dec/2021 22:17:06 - - 127.0.0.1 "/" 200
10/Dec/2021 22:17:06 - - 127.0.0.1 "/favicon.ico" 200
10/Dec/2021 22:42:37 - - 127.0.0.1 "/" 200
10/Dec/2021 22:42:54 - - 127.0.0.1 "/" 200
10/Dec/2021 22:43:17 - - 127.0.0.1 "/" 200
10/Dec/2021 22:43:17 - - 127.0.0.1 "/favicon.ico" 200
10/Dec/2021 22:55:03 - - 127.0.0.1 "/" 304
10/Dec/2021 22:55:03 - - 127.0.0.1 "/favicon.ico" 304
10/Dec/2021 23:05:24 - - 127.0.0.1 "/" 200
10/Dec/2021 23:05:24 - - 127.0.0.1 "/favicon.ico" 304
10/Dec/2021 23:13:32 - - 127.0.0.1 "/" 304
10/Dec/2021 23:37:38 - - 127.0.0.1 "/" 200
10/Dec/2021 23:37:38 - - 127.0.0.1 "/favicon.ico" 304
10/Dec/2021 23:45:06 - - 127.0.0.1 "/" 304
10/Dec/2021 23:45:38 - - 127.0.0.1 "/" 304
10/Dec/2021 23:46:08 - - 127.0.0.1 "/" 304
10/Dec/2021 23:46:08 - - 127.0.0.1 "/favicon.ico" 304
10/Dec/2021 23:47:55 - - 127.0.0.1 "/" 304
